umap_1,umap_2,celltype
2.81257948531445,-9.49524684536755,10
3.00453544451402,-9.11174170901166,10
2.8554720332339,-9.48567596425558,10
-9.337780812387,15.133359633586,9
-9.09205328331429,14.897416292394,9
-9.21082209768904,15.1527945414367,9
-8.66448252958749,13.599850654251,9
-8.48382735174878,14.0688382572125,9
-9.15779370004621,14.6099130758379,9
-8.44256261791267,14.065525060146,9
-9.33140276070117,15.0554805490787,9
-9.13388533256719,13.872907476179,9
3.31198157732114,-9.33894976514126,10
3.31429890519412,-9.42396658962756,10
2.77101535822665,-9.45660983493735,10
2.97319224851093,-9.52914539146212,10
3.31099389589127,-9.22863528935235,10
3.40900850841967,-9.38702093584885,10
3.32409341784587,-9.32634239621313,10
2.76248610547653,-9.46039441651925,10
3.12034488933197,-9.48325730266092,10
3.4698238282288,-9.25077525797568,10
2.94805088847955,-9.06654873942663,10
2.71833293300919,-9.52442612952932,10
-9.55632005650432,15.1900457930758,9
-9.27825735331697,14.9799482555335,9
-8.99100221947232,14.0168456907024,9
-8.9668389459031,13.9100728295827,9
-8.73194107110924,13.7049753663063,9
-9.11006922187763,14.3239411133866,9
-8.97990583648742,13.8301458313692,9
-9.37417369011752,15.1665119167313,9
-9.11967417566146,14.2959681365568,9
-9.43013782425892,15.317310776868,9
-9.3173788860706,14.8576493776561,9
-8.89549583251142,13.714284042152,9
-8.36434175455373,14.0678112752912,9
-8.50856054155852,14.4472793540335,9
-8.80734214280943,13.971828093258,9
-9.06752563714879,14.8153521645485,9
-8.57005631145002,13.6837778580309,9
-8.79711859617557,14.2507277818573,9
-8.46932636579942,14.2975567670371,9
-9.13577627953427,14.2796510947612,9
-12.6901781522113,28.1101328559624,1
-12.3290577551216,28.2477316892705,1
-12.7204834581877,28.7346202411607,1
-12.8561111840853,29.14537425631,1
-12.8767633634386,29.1609423428186,1
-12.927604139747,29.0309367620779,1
-12.9775274456908,29.3010917307841,1
-12.5660292640043,28.6115294857416,1
-12.5465320261851,28.3546370099041,1
-12.8382785268561,29.2835199878412,1
-12.309167865325,28.3739910656279,1
-12.8644361385348,28.5158786490834,1
-12.6855186803236,28.6672548652639,1
-12.6222519253812,28.2392977903344,1
-12.7871378915025,29.1129014812588,1
-12.5021527626573,28.2882941715899,1
-12.6198004067217,28.1238355703437,1
-12.8077189153543,29.0595768806506,1
-12.8792285350572,28.4095127065839,1
-12.4560287994556,28.0827279547925,1
-12.3763136804243,28.2393851952442,1
-12.8074376984525,29.1831897844946,1
-10.4953695874709,-2.73926765506942,2
-11.0075651532188,-3.2605761985146,2
-10.8433902058323,-3.1329541764883,2
-10.3848445294502,-2.62719704846011,2
-10.8631625959589,-3.38643189120158,2
-10.8480815136724,-3.26844107810178,2
-10.8883534412322,-3.34157529144066,2
-10.9854828537478,-3.23774650281533,2
-10.9485632866665,-3.40289923190689,2
-10.4928839163806,-2.73409738909255,2
-10.657185259678,-2.98448288917419,2
-10.8520127162248,-3.38355769030998,2
-10.6249404698197,-2.89613821032416,2
-10.7970089620139,-3.28811407171364,2
-10.4125508991823,-2.65435877124891,2
-10.3691760857631,-2.61106993439447,2
-10.5473527948243,-2.79185202597307,2
13.8230049527285,12.9155486904365,3
13.835717838542,12.993653997222,3
14.0398264474351,12.5593065608193,3
14.4991817520362,12.3851614183826,3
